algo,cfg_id,elitism,fitness_mode,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,score_from_conv,seed,selection,source_file,threshold_keep_ratio,tournament_k
ga,8ce7036c,2,penalized,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,29006.0,0,tournament,ga_A_A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9_8ce7036c_seed0.csv,0.25,5
ga,8ce7036c,2,penalized,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,29454.0,1,tournament,ga_A_A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9_8ce7036c_seed1.csv,0.25,5
ga,8ce7036c,2,penalized,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.1,strict,26382.0,2,tournament,ga_A_A027_rtr0.10_pm0.35_prs0.00_init1.0_pc0.9_8ce7036c_seed2.csv,0.25,5
ga,ee055ac5,2,penalized,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,25665.0,0,tournament,ga_A_A028_rtr0.10_pm0.35_prs0.20_init0.2_pc0.7_ee055ac5_seed0.csv,0.25,5
ga,ee055ac5,2,penalized,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,25021.0,1,tournament,ga_A_A028_rtr0.10_pm0.35_prs0.20_init0.2_pc0.7_ee055ac5_seed1.csv,0.25,5
ga,ee055ac5,2,penalized,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,24737.0,2,tournament,ga_A_A028_rtr0.10_pm0.35_prs0.20_init0.2_pc0.7_ee055ac5_seed2.csv,0.25,5
ga,9e65092c,2,penalized,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,24207.0,0,tournament,ga_A_A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9_9e65092c_seed0.csv,0.25,5
ga,9e65092c,2,penalized,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,24896.0,1,tournament,ga_A_A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9_9e65092c_seed1.csv,0.25,5
ga,9e65092c,2,penalized,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,23875.0,2,tournament,ga_A_A029_rtr0.10_pm0.35_prs0.20_init0.2_pc0.9_9e65092c_seed2.csv,0.25,5
ga,748a2495,2,penalized,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,27051.0,0,tournament,ga_A_A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7_748a2495_seed0.csv,0.25,5
ga,748a2495,2,penalized,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,26285.0,1,tournament,ga_A_A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7_748a2495_seed1.csv,0.25,5
ga,748a2495,2,penalized,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,24463.0,2,tournament,ga_A_A030_rtr0.10_pm0.35_prs0.20_init1.0_pc0.7_748a2495_seed2.csv,0.25,5
ga,61e08a0b,2,penalized,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,25860.0,0,tournament,ga_A_A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9_61e08a0b_seed0.csv,0.25,5
ga,61e08a0b,2,penalized,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,25552.0,1,tournament,ga_A_A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9_61e08a0b_seed1.csv,0.25,5
ga,61e08a0b,2,penalized,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.1,strict,24767.0,2,tournament,ga_A_A031_rtr0.10_pm0.35_prs0.20_init1.0_pc0.9_61e08a0b_seed2.csv,0.25,5
ga,bf728ec1,2,penalized,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,24207.0,0,tournament,ga_A_A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7_bf728ec1_seed0.csv,0.25,5
ga,bf728ec1,2,penalized,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,24896.0,1,tournament,ga_A_A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7_bf728ec1_seed1.csv,0.25,5
ga,bf728ec1,2,penalized,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,23714.0,2,tournament,ga_A_A032_rtr0.10_pm0.35_prs0.40_init0.2_pc0.7_bf728ec1_seed2.csv,0.25,5
ga,6ac774cf,2,penalized,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.1,strict,24207.0,0,tournament,ga_A_A033_rtr0.10_pm0.35_prs0.40_init0.2_pc0.9_6ac774cf_seed0.csv,0.25,5
